sample_id,inputpfda_chamfer_distance,inputpfda_gaussian_distance,inputpfda_pmse_2,inputpfda_pmse_4,inputpfda_rf1,inputpfda_tf1,inputpfda_tpf1,inputpfda_event_count_ratio,inputpfda_temporal_overlap,inputpfdb_chamfer_distance,inputpfdb_gaussian_distance,inputpfdb_pmse_2,inputpfdb_pmse_4,inputpfdb_rf1,inputpfdb_tf1,inputpfdb_tpf1,inputpfdb_event_count_ratio,inputpfdb_temporal_overlap,output_full_chamfer_distance,output_full_gaussian_distance,output_full_pmse_2,output_full_pmse_4,output_full_rf1,output_full_tf1,output_full_tpf1,output_full_event_count_ratio,output_full_temporal_overlap,output_full_old_chamfer_distance,output_full_old_gaussian_distance,output_full_old_pmse_2,output_full_old_pmse_4,output_full_old_rf1,output_full_old_tf1,output_full_old_tpf1,output_full_old_event_count_ratio,output_full_old_temporal_overlap,output_nolight_chamfer_distance,output_nolight_gaussian_distance,output_nolight_pmse_2,output_nolight_pmse_4,output_nolight_rf1,output_nolight_tf1,output_nolight_tpf1,output_nolight_event_count_ratio,output_nolight_temporal_overlap,output_physics_chamfer_distance,output_physics_gaussian_distance,output_physics_pmse_2,output_physics_pmse_4,output_physics_rf1,output_physics_tf1,output_physics_tpf1,output_physics_event_count_ratio,output_physics_temporal_overlap,output_physics_noRandom_method_chamfer_distance,output_physics_noRandom_method_gaussian_distance,output_physics_noRandom_method_pmse_2,output_physics_noRandom_method_pmse_4,output_physics_noRandom_method_rf1,output_physics_noRandom_method_tf1,output_physics_noRandom_method_tpf1,output_physics_noRandom_method_event_count_ratio,output_physics_noRandom_method_temporal_overlap,output_physics_noRandom_noTen_method_chamfer_distance,output_physics_noRandom_noTen_method_gaussian_distance,output_physics_noRandom_noTen_method_pmse_2,output_physics_noRandom_noTen_method_pmse_4,output_physics_noRandom_noTen_method_rf1,output_physics_noRandom_noTen_method_tf1,output_physics_noRandom_noTen_method_tpf1,output_physics_noRandom_noTen_method_event_count_ratio,output_physics_noRandom_noTen_method_temporal_overlap,output_simple_chamfer_distance,output_simple_gaussian_distance,output_simple_pmse_2,output_simple_pmse_4,output_simple_rf1,output_simple_tf1,output_simple_tpf1,output_simple_event_count_ratio,output_simple_temporal_overlap,output_simple_old_chamfer_distance,output_simple_old_gaussian_distance,output_simple_old_pmse_2,output_simple_old_pmse_4,output_simple_old_rf1,output_simple_old_tf1,output_simple_old_tpf1,output_simple_old_event_count_ratio,output_simple_old_temporal_overlap,output_simple_timeRandom_method_chamfer_distance,output_simple_timeRandom_method_gaussian_distance,output_simple_timeRandom_method_pmse_2,output_simple_timeRandom_method_pmse_4,output_simple_timeRandom_method_rf1,output_simple_timeRandom_method_tf1,output_simple_timeRandom_method_tpf1,output_simple_timeRandom_method_event_count_ratio,output_simple_timeRandom_method_temporal_overlap,outputbaseline_chamfer_distance,outputbaseline_gaussian_distance,outputbaseline_pmse_2,outputbaseline_pmse_4,outputbaseline_rf1,outputbaseline_tf1,outputbaseline_tpf1,outputbaseline_event_count_ratio,outputbaseline_temporal_overlap,input_chamfer_distance,input_gaussian_distance,input_pmse_2,input_pmse_4,input_rf1,input_tf1,input_tpf1,input_event_count_ratio,input_temporal_overlap
defocus_128ms_sample4,3.585420276,0.970480186,0.817755771,0.799519694,0.020956258,0.027794738,0.031586108,34.85558064,0.999939999,3.791655621,0.984070548,0.096648762,0.090442654,0.003094539,0.007478589,0.012839427,4.263419717,0.999939999,2.582896949,0.814173981,0.042807343,0.040400399,0.209257251,0.219018024,0.176879586,1.320500813,0.999939999,3.125724851,0.887609846,0.043163249,0.040593593,0.157494528,0.156207958,0.131554227,1.11139575,0.999949998,3.194426568,0.933777747,0.043491852,0.041098142,0.043717374,0.09831389,0.120392547,0.296241735,0.999979999,2.755870561,0.851797509,0.06003242,0.057499911,0.147215207,0.161195558,0.13778049,2.495946482,0.999929999,3.593686602,0.986937642,0.068275736,0.06618136,0.011461338,0.022162822,0.03058055,1.559397834,0.999939999,2.493552947,0.809439477,0.059224344,0.056073426,0.172932027,0.173101185,0.15193337,2.309983997,0.999939999,3.496528836,0.96334264,0.048972362,0.046128863,0.043487268,0.053734232,0.073710141,1.044042849,0.999949998,3.377927919,0.950531802,0.075465047,0.071455343,0.077965767,0.093641124,0.099034204,3.336203153,0.999939999,3.644209255,0.977405025,0.051306306,0.047905723,0.022267309,0.03646766,0.049896293,1.229797541,0.999939999,3.62675629,0.981060035,0.093050517,0.075290781,0.019906149,0.030977561,0.034030417,7.436961133,0.999929999,3.588270544,0.970662497,0.840819633,0.822592843,0.02046504,0.026872863,0.030684835,35.91377514,0.999929999
defocus_189ms_sample5,3.5664883,0.97185894,0.881923556,0.863977385,0.016413914,0.028376501,0.032355373,37.59198678,0.999069981,3.787972655,0.980361412,0.094715679,0.089714153,0.002174331,0.008456377,0.012298202,3.853887848,0.999069981,2.105385614,0.76245492,0.078853871,0.076728173,0.179571233,0.266977297,0.218419242,2.811750369,0.999059991,2.187577196,0.712135618,0.037457865,0.035124772,0.25863421,0.204407887,0.164427824,1.796788758,0.999069981,3.159549316,0.93589956,0.036455709,0.034420782,0.033580745,0.085002497,0.110129012,0.206064026,0.999149915,2.11219024,0.757694321,0.047998321,0.046013613,0.20699238,0.28750609,0.241428643,1.725447453,0.999069981,2.081843342,0.749921753,0.067051615,0.06500629,0.212657243,0.331860046,0.28475449,2.357949965,0.999069981,2.211999146,0.784679429,0.089155091,0.08651239,0.167572509,0.236160045,0.210404015,2.876108555,0.999069981,2.097042819,0.752122413,0.078562126,0.076066594,0.184195108,0.25572515,0.208207805,2.51717562,0.999069981,2.47000933,0.813668149,0.055253285,0.052074775,0.151566034,0.192894284,0.13833223,2.687387594,0.999069981,2.262322312,0.783095612,0.068604188,0.065801141,0.17339388,0.224712631,0.183018712,2.350718778,0.999069981,3.574849059,0.980700694,0.091243438,0.072734092,0.018376242,0.032039449,0.034086317,7.78103953,0.999059991,3.571959818,0.972171446,0.904019594,0.886658657,0.016073882,0.027804942,0.0317604,38.45716793,0.999059991
defocus_227ms_sample6,3.773437192,0.995232241,0.381698382,0.37330761,0.000515641,0.004419675,0.008779987,813.78956,0.999289986,3.771535647,0.994995566,0.031252177,0.02867188,0.000493429,0.00426618,0.008229161,110.5758389,0.999289986,3.714149519,0.995187158,0.056584361,0.055221245,0.000585687,0.00423531,0.008235704,83.6709918,0.999289986,3.843573557,0.99553085,0.001772603,0.001361954,0.000668754,0.003996554,0.00779007,10.08217748,0.999609867,3.701509933,0.994103844,0.00125469,0.000502302,0.000815423,0.004694148,0.008803673,8.567636092,0.999349948,3.734415904,0.995272689,0.021147898,0.019971438,0.000595895,0.004238519,0.00841577,61.94541387,0.999289986,3.740661789,0.99546897,0.038481821,0.037588397,0.000602406,0.004211504,0.008031408,60.02744221,0.999289986,3.717538535,0.995161315,0.047966289,0.046748129,0.000615049,0.004426631,0.008341382,86.56390753,0.999289986,3.768990012,0.995372369,0.05269457,0.051487379,0.000610472,0.004415903,0.008344834,81.33542133,0.999279993,3.779000015,0.995007227,0.034934682,0.033685651,0.000660512,0.00438536,0.008180515,72.97270694,0.999289986,3.758996776,0.994971551,0.032679433,0.030821611,0.000600074,0.004365246,0.008531947,83.24593587,0.999289986,3.693755441,0.994637876,0.026785533,0.018779691,0.000553508,0.004508752,0.008807835,170.8220731,0.999279993,3.774176388,0.995200874,0.38686325,0.378192919,0.000525995,0.004432107,0.00880147,833.3798658,0.999279993
defocus_25ms_sample1,3.640211552,0.97735027,0.988124847,0.967446411,0.02124348,0.02500681,0.029012309,41.82834674,0.999759995,3.781631292,0.987091447,0.115358593,0.10935531,0.003214245,0.008187487,0.012177246,5.012862921,0.999849983,3.182148571,0.935981338,0.077518301,0.07488811,0.102319424,0.140175205,0.143058446,3.349888189,0.999759995,3.041934174,0.911278837,0.044997956,0.043035347,0.117614867,0.138428929,0.157054562,1.38564296,0.999759995,3.413946714,0.954583352,0.03872937,0.036135453,0.031468257,0.054378681,0.06873974,0.312371077,0.999769993,3.262975734,0.948045201,0.092214325,0.089423072,0.085806391,0.117837818,0.116240977,3.520863144,0.999759995,3.366297389,0.967009637,0.113981669,0.111392282,0.04747427,0.103134586,0.1065151,4.412226744,0.999749997,2.862419848,0.887839471,0.105281688,0.102619794,0.156948853,0.161611634,0.157498404,4.443710394,0.999749997,3.135696207,0.922867186,0.04552882,0.042634422,0.117714295,0.151830452,0.134257076,1.640869587,0.999759995,3.379837203,0.957855544,0.047685109,0.044564196,0.052842307,0.072585033,0.086307526,1.535222043,0.999759995,3.109208139,0.92206226,0.092405833,0.088825604,0.112627572,0.124089968,0.113941965,3.841559656,0.999749997,3.649210715,0.98320863,0.098395832,0.077844432,0.016139155,0.028178044,0.031343187,8.702607274,0.999749997,3.64509714,0.977630528,1.002056527,0.981503952,0.020909981,0.024692618,0.028727541,42.51556373,0.999749997
defocus_275ms_sample7,3.600325684,0.978843764,1.034114623,1.012955189,0.018669075,0.024194023,0.028265939,43.66885072,0.999669983,3.799900789,0.988073462,0.122419718,0.116517258,0.003096136,0.007920777,0.011830764,5.194675242,0.999669983,3.228302043,0.936431391,0.089122923,0.086335072,0.109087426,0.134600761,0.133609046,3.917737009,0.999659986,3.181077345,0.918270511,0.047467693,0.045535447,0.123883909,0.131663447,0.146898156,1.570580618,0.999679981,3.372089437,0.954436447,0.039154927,0.036640269,0.030930132,0.051308528,0.065635504,0.282291492,0.999669983,3.348396843,0.952016883,0.092282613,0.089401321,0.084531036,0.112545629,0.110682701,3.465213108,0.999659986,3.434990466,0.967408389,0.112591808,0.109888466,0.05274699,0.104021775,0.105950384,4.411330446,0.999659986,3.021964782,0.908089764,0.116859387,0.113984235,0.140499816,0.152816856,0.149828379,4.658125616,0.999659986,3.056180549,0.913254328,0.042035909,0.039268234,0.135212874,0.157147158,0.139307575,1.326542625,0.999659986,3.401793516,0.955347342,0.043942037,0.040977371,0.062894616,0.086686072,0.098180873,1.175969814,0.999659986,3.176504842,0.929133267,0.095765503,0.092069937,0.111039702,0.121807626,0.111922956,3.849235116,0.999659986,3.629507294,0.984075248,0.102100872,0.080685826,0.015568101,0.026388628,0.030231759,9.086538164,0.999629996,3.604754602,0.979062161,1.047677374,1.026648402,0.018404672,0.023936004,0.028050995,44.31134408,0.999659986
defocus_283ms_sample8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
defocus_336ms_sample9,3.579029591,0.968863424,0.740714014,0.724604988,0.01783057,0.028904127,0.03268851,32.59883589,1.0,3.824055279,0.986583101,0.099569044,0.093702915,0.003494055,0.009151663,0.013169578,4.570052624,1.0,2.556947135,0.768952042,0.05038792,0.04699238,0.199894098,0.159848514,0.127676458,2.649025208,0.99999,2.938593896,0.841245556,0.03764917,0.035624741,0.186097537,0.189564405,0.160218267,0.983236118,0.99999,3.29899768,0.942273322,0.037943573,0.035841693,0.028850487,0.071650995,0.093064072,0.207635226,0.999979999,2.348539378,0.777673842,0.043898224,0.04134065,0.189427581,0.226922674,0.181089978,1.886187938,0.99999,1.531824322,0.612698,0.03955896,0.037718155,0.304087293,0.393465076,0.32345337,1.452221695,1.0,2.572164699,0.813472193,0.078838705,0.075887175,0.137017063,0.162962107,0.149341004,3.475187532,0.99999,1.951267589,0.664537121,0.058262837,0.055674226,0.314422276,0.258591595,0.207881383,2.179146549,0.99999,2.173935069,0.738571312,0.050953399,0.048095126,0.203852635,0.227128873,0.167654267,2.176569637,1.0,2.304652974,0.758813859,0.052112244,0.049070729,0.211450852,0.218042423,0.165358016,2.124104205,0.99999,3.620031656,0.978926734,0.082746102,0.066205621,0.021113208,0.033629268,0.034935225,6.880355,0.99998,3.584096493,0.969363265,0.750248718,0.733754063,0.017335378,0.027954893,0.031769823,33.294813,0.99999
defocus_361ms_sample10,3.565417483,0.969744287,0.613105631,0.599269664,0.021339628,0.032637532,0.036128198,26.85520621,0.999709983,3.6556507,0.985103502,0.101745452,0.096059046,0.002478246,0.009454752,0.013780198,4.399171048,0.999709983,1.930824013,0.669118403,0.094966745,0.091915414,0.311063021,0.190192295,0.152042566,3.277426095,0.999709983,3.042366223,0.872553513,0.050676667,0.047928923,0.173780621,0.140693116,0.123713409,1.854437404,0.999709983,3.247086022,0.933690769,0.042612823,0.040398593,0.038683573,0.078727308,0.102061657,0.263389093,0.99971998,2.569262757,0.785459722,0.054601246,0.051716372,0.240690562,0.174180632,0.138725585,2.310522172,0.999709983,1.824049467,0.684355746,0.052126464,0.049715541,0.333817288,0.263902572,0.215313444,1.827600317,0.999709983,1.82790422,0.679588327,0.084975821,0.082387261,0.325164075,0.223580011,0.192386528,2.781834358,0.999709983,2.059203955,0.706823164,0.108083548,0.105226748,0.328570963,0.229897964,0.186557936,3.231508234,0.999709983,2.617446731,0.799322796,0.06066742,0.056280965,0.165048787,0.134853799,0.098460996,2.736192401,0.999699985,2.221489901,0.729635655,0.053999785,0.050717597,0.311242568,0.182443469,0.146666001,2.539683671,0.999709983,3.620989569,0.977352582,0.07841748,0.06430009,0.024180006,0.036525012,0.038528399,5.811622687,0.999659997,3.572432195,0.970424306,0.622640657,0.608215463,0.02057897,0.031036658,0.034414683,27.62317097,0.999709983
defocus_41ms_sample2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
defocus_91ms_sample3,3.595805186,0.971333836,0.561148596,0.550003088,0.025717072,0.035722712,0.039229358,27.49543961,0.999909982,3.658046003,0.983983651,0.081940327,0.078134211,0.002572092,0.009315589,0.014091975,3.657142965,0.999909982,3.089344982,0.877409298,0.091168314,0.087983721,0.139354845,0.110875191,0.101183666,4.639579694,0.999959992,3.301981886,0.912409438,0.041048676,0.038912931,0.132762352,0.116427656,0.126501982,1.557693546,0.999959992,3.267540703,0.936385952,0.036055715,0.034219027,0.039704738,0.083060263,0.104839749,0.268651739,0.999909982,3.475902765,0.941863599,0.06128718,0.058795631,0.111384756,0.113806794,0.104481585,2.69335324,0.999959992,2.595290416,0.80509977,0.057032337,0.054915718,0.245630577,0.185267924,0.158144809,2.9381932,0.999959992,2.622485473,0.813041429,0.078083558,0.075747238,0.240963127,0.162033757,0.145051149,3.470362216,0.999959992,2.380593897,0.765432886,0.095816691,0.093350779,0.265985482,0.178233121,0.148694962,4.078509907,0.999959992,3.193995838,0.893460024,0.04555189,0.042390586,0.157365339,0.13384162,0.106918898,2.24442314,0.99994999,2.666591904,0.803633699,0.040757171,0.037905321,0.24025752,0.152887523,0.118900534,2.47975203,0.999959992,3.642166471,0.978848114,0.068058695,0.056596111,0.024418281,0.038911211,0.041354413,5.775610736,0.999809998,3.595213533,0.970679716,0.567880821,0.556435513,0.025025382,0.034373587,0.037706976,28.05012069,0.999909982
